id_venda;cod_cliente;Des_Cliente;cod_produto;nom_produto;cod_marca;des_marca;Ano_venda;Mês_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota
38;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;19;19/03/2015;1;342.09;155
77;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;16;16/09/2015;3;342.09;829
231;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;4;04/11/2015;3;342.09;1,483
342;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;11;11/11/2015;2;342.09;984
402;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;5;13;13/05/2015;1;342.09;341
455;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;18;18/09/2015;2;342.09;344
697;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;3;8;08/03/2015;2;342.09;902
782;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;8;21;21/08/2014;1;342.09;684
904;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;10;5;05/10/2014;2;342.09;560
1,008;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;6;26;26/06/2014;2;342.09;829
1,213;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;3;16;16/03/2014;2;342.09;843
1,403;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;19;19/05/2014;2;342.09;620
1,495;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;3;13;13/03/2014;2;342.09;1,337
1,512;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;10;5;05/10/2015;3;342.09;1,345
1,658;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;7;3;03/07/2015;2;342.09;420
1,685;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;11;5;05/11/2015;2;342.09;737
1,758;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;9;13;13/09/2015;3;342.09;254
1,770;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;3;14;14/03/2014;1;342.09;963
1,834;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,014;5;2;02/05/2014;3;342.09;209
1,856;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;10;14;14/10/2015;2;342.09;536
1,897;1;JOÃO DO PULO;3;TECLADO;1;APPLE;2,015;6;7;07/06/2015;2;342.09;1,142
